,0,1,2,3,4
0,"('00', '01')",1_,-2,"('10', '00')",False
1,"('10', '00')",2_,-2,"('20', '10')",False
2,"('20', '10')",0_,-2,"('00', '20')",False
3,"('00', '20')",_2,-10,"('02', '00')",False
4,"('02', '00')",_0,10,"('00', '02')",False
5,"('00', '02')",1_,-2,"('10', '00')",False
6,"('10', '00')",1_,-2,"('10', '10')",False
7,"('10', '10')",1_,-2,"('10', '10')",False
8,"('10', '10')",1_,-2,"('10', '10')",False
9,"('10', '10')",_2,-2,"('12', '10')",False
10,"('12', '10')",_2,-2,"('12', '12')",False
11,"('12', '12')",1_,-2,"('12', '12')",False
12,"('12', '12')",1_,-2,"('12', '12')",False
13,"('12', '12')",2_,-2,"('22', '12')",False
14,"('22', '12')",0_,-2,"('02', '22')",False
15,"('02', '22')",1_,-2,"('12', '02')",False
16,"('12', '02')",1_,-2,"('12', '12')",False
17,"('12', '12')",_1,-2,"('11', '12')",False
18,"('11', '12')",_1,-2,"('11', '11')",False
19,"('11', '11')",_0,-2,"('10', '11')",False
20,"('12', '22')",_0,-2,"('10', '12')",False
21,"('10', '12')",_0,-2,"('10', '10')",False
22,"('10', '10')",_1,-2,"('11', '10')",False
23,"('11', '10')",1_,-2,"('11', '11')",False
24,"('11', '11')",_1,-2,"('11', '11')",False
25,"('11', '11')",1_,-2,"('11', '11')",False
26,"('11', '11')",2_,-2,"('21', '11')",False
27,"('21', '11')",2_,-2,"('21', '21')",False
28,"('21', '21')",_2,-2,"('22', '21')",False
29,"('22', '21')",_1,-2,"('21', '22')",False
30,"('21', '22')",_0,-2,"('20', '21')",False
31,"('20', '21')",_1,-2,"('21', '20')",False
32,"('21', '20')",_1,-2,"('21', '21')",False
33,"('21', '21')",2_,-2,"('21', '21')",False
34,"('21', '21')",1_,-2,"('11', '21')",False
35,"('11', '21')",1_,-2,"('11', '11')",False
36,"('11', '11')",0_,-2,"('01', '11')",False
37,"('01', '11')",_0,10,"('00', '01')",False
