,0,1,2,3,4
0,"('22', '21')",0_,-2,"('02', '22')",False
1,"('02', '22')",1_,-2,"('12', '02')",False
2,"('12', '02')",1_,-2,"('12', '12')",False
3,"('12', '12')",2_,-2,"('22', '12')",False
4,"('22', '12')",2_,-2,"('22', '22')",False
5,"('22', '22')",_0,-2,"('20', '22')",False
6,"('20', '22')",_0,-2,"('20', '20')",False
7,"('20', '20')",_2,-2,"('22', '20')",False
8,"('22', '20')",2_,-2,"('22', '22')",False
9,"('22', '22')",2_,-2,"('22', '22')",False
10,"('22', '22')",_1,-2,"('21', '22')",False
11,"('21', '22')",1_,-2,"('11', '21')",False
12,"('11', '21')",1_,-2,"('11', '11')",False
13,"('11', '11')",_2,-2,"('12', '11')",False
14,"('12', '11')",_1,-2,"('11', '12')",False
15,"('11', '12')",2_,-2,"('21', '11')",False
16,"('21', '11')",2_,-2,"('21', '21')",False
17,"('21', '21')",2_,-2,"('21', '21')",False
18,"('21', '21')",1_,-2,"('11', '21')",False
19,"('11', '21')",0_,-2,"('01', '11')",False
20,"('22', '21')",_1,-2,"('21', '22')",False
21,"('21', '22')",_2,-2,"('22', '21')",False
22,"('22', '21')",1_,-2,"('12', '22')",False
23,"('12', '22')",_1,-2,"('11', '12')",False
24,"('11', '12')",_2,-2,"('12', '11')",False
25,"('12', '11')",_0,-2,"('10', '12')",False
26,"('10', '12')",1_,-2,"('10', '10')",False
27,"('10', '10')",_2,-2,"('12', '10')",False
28,"('12', '10')",0_,-2,"('02', '12')",False
29,"('02', '12')",_2,-2,"('02', '02')",False
30,"('02', '02')",_2,-2,"('02', '02')",False
31,"('02', '02')",_0,-2,"('00', '02')",False
32,"('00', '02')",_0,-2,"('00', '00')",False
33,"('00', '00')",_1,-10,"('01', '00')",False
34,"('01', '00')",1_,-2,"('11', '01')",False
35,"('11', '01')",_0,-2,"('10', '11')",False
36,"('10', '11')",1_,-2,"('10', '10')",False
37,"('10', '10')",_2,-2,"('12', '10')",False
38,"('12', '10')",1_,-2,"('12', '12')",False
39,"('12', '12')",2_,-2,"('22', '12')",False
40,"('22', '12')",1_,-2,"('12', '22')",False
41,"('12', '22')",_1,-2,"('11', '12')",False
42,"('11', '12')",0_,-2,"('01', '11')",False
43,"('01', '11')",_0,10,"('00', '01')",False
44,"('00', '01')",_2,-10,"('02', '00')",False
45,"('02', '00')",_1,-2,"('01', '02')",False
46,"('01', '02')",0_,-2,"('01', '01')",False
47,"('01', '01')",_0,10,"('00', '01')",False
48,"('00', '01')",_1,-10,"('01', '00')",False
49,"('01', '00')",_1,-2,"('01', '01')",False
50,"('01', '01')",_1,-2,"('01', '01')",False
51,"('01', '01')",2_,-2,"('21', '01')",False
52,"('21', '01')",_2,-2,"('22', '21')",False
53,"('22', '21')",2_,-2,"('22', '22')",False
54,"('22', '22')",1_,-2,"('12', '22')",False
55,"('12', '22')",0_,-2,"('02', '12')",False
56,"('02', '12')",_1,-2,"('01', '02')",False
57,"('01', '02')",_2,-2,"('02', '01')",False
58,"('02', '01')",2_,-2,"('22', '02')",False
59,"('22', '02')",0_,-2,"('02', '22')",False
60,"('02', '01')",1_,-2,"('12', '02')",False
61,"('12', '02')",_2,-2,"('12', '12')",False
62,"('12', '12')",_2,-2,"('12', '12')",False
63,"('12', '12')",2_,-2,"('22', '12')",False
64,"('22', '12')",1_,-2,"('12', '22')",False
65,"('12', '22')",_0,-2,"('10', '12')",False
66,"('10', '12')",2_,-2,"('20', '10')",False
67,"('20', '10')",2_,-2,"('20', '20')",False
68,"('20', '20')",_0,-2,"('20', '20')",False
69,"('20', '20')",1_,-2,"('10', '20')",False
70,"('10', '20')",2_,-2,"('20', '10')",False
71,"('20', '10')",0_,-2,"('00', '20')",False
72,"('00', '20')",_0,-2,"('00', '00')",False
73,"('00', '00')",0_,-2,"('00', '00')",False
74,"('00', '00')",_1,-10,"('01', '00')",False
75,"('01', '00')",_0,10,"('00', '01')",False
76,"('00', '01')",0_,-2,"('00', '00')",False
77,"('00', '00')",_0,-2,"('00', '00')",False
78,"('00', '00')",_0,-2,"('00', '00')",False
79,"('00', '00')",2_,-2,"('20', '00')",False
80,"('10', '20')",0_,-2,"('00', '10')",False
