,Unnamed: 0,0_,1_,2_,_0,_1,_2
0,"('00', '00')",-7.97,-0.24,-6.43,-6.26,-8.04,-9.82
1,"('00', '01')",-1.32,-3.81,-5.94,-3.28,-4.81,-8.74
2,"('00', '10')",-3.61,-3.03,-5.4,-2.07,-3.25,-3.25
3,"('00', '02')",-3.22,-1.59,-3.83,-1.63,-6.5,-0.42
4,"('00', '20')",2.89,-4.4,-3.36,-4.16,-3.25,-3.25
5,"('01', '00')",-3.75,-3.25,-3.93,-0.16,-3.25,-6.5
6,"('01', '01')",0.0,0.0,0.0,5.46,-2.44,-3.0
7,"('01', '11')",0.0,0.0,-0.32,-0.8,-0.5,-2.57
8,"('01', '02')",0.0,0.0,0.0,0.0,1.12,-1.77
9,"('01', '21')",-3.25,0.0,0.0,5.08,-1.3,-2.32
10,"('11', '01')",0.0,0.0,0.0,0.0,0.0,3.25
11,"('11', '11')",-3.19,-1.42,4.82,-1.43,-2.45,-3.29
12,"('11', '10')",-1.01,-2.22,-3.25,-3.79,-4.55,-2.17
13,"('11', '12')",-1.8,1.04,-3.25,-0.86,-0.25,-1.3
14,"('11', '21')",-1.22,-0.48,-1.3,-3.55,-1.3,-3.25
15,"('10', '00')",-3.35,-2.57,-1.57,-4.11,-1.93,-3.25
16,"('10', '11')",-1.22,4.62,-3.25,-1.8,-1.55,-0.37
17,"('10', '10')",-3.31,-5.99,-3.02,-4.39,-4.51,-3.59
18,"('10', '20')",-3.02,-3.93,-1.76,-2.26,-6.99,-2.58
19,"('10', '12')",-1.98,-2.38,-1.3,-2.91,-3.93,-1.3
20,"('02', '00')",-5.48,-5.95,-7.24,-4.68,-4.39,-5.65
21,"('02', '01')",-1.3,0.04,-1.3,-3.86,-1.3,-1.55
22,"('02', '02')",-3.25,-4.81,-1.3,-3.25,0.9,-1.91
23,"('02', '22')",0.0,0.0,-1.24,5.16,-0.68,-1.91
24,"('02', '12')",0.0,0.0,-1.3,-3.64,0.0,0.0
25,"('22', '02')",-1.3,-1.3,-2.34,-4.39,-1.66,-1.65
26,"('22', '22')",-3.25,-2.74,-3.27,-2.39,-2.6,-2.42
27,"('22', '20')",-3.67,-1.41,-2.42,-3.25,-1.51,-3.0
28,"('22', '12')",-3.25,-2.44,4.44,-1.3,-3.93,-0.16
29,"('22', '21')",2.74,-1.5,-0.98,-1.16,-1.3,-1.82
30,"('20', '00')",-4.94,-5.22,-8.18,-4.3,-3.7,-3.63
31,"('20', '10')",-4.91,-4.02,-2.61,-0.66,-2.63,-2.11
32,"('20', '22')",-1.3,-3.28,-1.54,-3.0,-1.44,-1.91
33,"('20', '20')",-4.66,-2.09,-3.16,-3.7,-0.16,-1.99
34,"('20', '21')",-1.3,-0.89,-1.3,-1.05,-0.59,-0.01
35,"('12', '11')",0.0,-3.25,-2.44,-0.66,-0.77,-3.25
36,"('12', '10')",-1.76,0.21,-2.86,-1.23,-1.39,-1.3
37,"('12', '02')",0.0,0.0,0.4,-1.3,-2.34,0.0
38,"('12', '22')",-1.3,-2.59,-1.3,-1.52,-6.55,-3.05
39,"('12', '12')",1.42,-1.3,-3.11,-1.22,-2.44,-1.3
40,"('21', '01')",0.0,0.0,-1.76,0.0,2.12,-1.1
41,"('21', '11')",2.3,-2.7,-2.2,-0.28,-1.3,-1.22
42,"('21', '22')",-3.7,-2.04,-4.16,-3.25,-6.78,-0.24
43,"('21', '20')",1.65,-3.24,-3.33,-1.3,-1.18,-0.82
44,"('21', '21')",-1.3,-1.36,-1.76,-1.22,-1.3,5.0
